No other evidence.	再没有别的证据可以证明了。
It keeps me busy.	这搞的我很忙
Now experts believe that stories go beyond our capacity for keeping us entertained.	专家们在今天相信 出人意料的故事给人带来欢乐
We think in narrative structures.	我们按照叙事的结构思考
We connect events and emotions and instinctively transform them into a sequence that can be easily understood.	把事件和情感相连 几乎同时将之转化 变成容易理解的故事线
It's a uniquely human achievement.	这是人类的独特才能
We all want to share our stories, whether it is the trick we saw at the party, the bad day at the office or the beautiful sunset we saw on vacation.	所有人都想分享自己的故事 不论是晚会中上演的把戏 办公室糟糕的一天 或假期中的美丽日落
Today, thanks to technology, we can share those stories as never before, by email, Facebook, blogs, tweets, on TED.com.	今天，感谢科技 故事可以通过不同以往的方式分享 比如电子邮件，脸谱网， 博客，微博 TED.com
The tools of social networking, these are the digital campfires around which the audience gathers to hear our story.	社交网络工具 成为一种数字式的营火 观众聚集在其周围 倾听我们的故事
We turn facts into similes and metaphors, and even fantasies.	我们赋予事实明喻或暗喻 甚至幻想
We polish the rough edges of our lives so that they feel whole.	我们将生活艰难的一面打磨 生活得以完整
Our stories make us the people we are and, sometimes, the people we want to be.	故事成就我们对自身的认同 而有时候，它让我们成为自己想要变成的那种人的认同
They give us our identity and a sense of community.	故事赋予我们身份 让我们感觉到社区的存在
And if the story is a good one, it might even make us smile.	如果故事不赖 就能让人开怀而笑
Thank you.	谢谢
Thank you.	（鼓掌） 谢谢
Hi.	大家好！
I did that for two reasons.	我这样做有两个原因
First of all, I wanted to give you a good visual first impression.	第一 我想在视觉上给你们 一个良好的第一印象
But the main reason I did it is that that's what happens to me when I'm forced to wear a Lady Gaga skanky mic.	但其实我这样做的主要原因 是我被强迫戴上 这个Lady Gaga风的古怪麦克风
I'm used to a stationary mic.	我习惯固定式麦克风
It's the sensible shoe of public address.	那才是公开场合演讲标配
But you clamp this thing on my head, and something happens.	但是 我头上被卡上这个东西后 怪事发生了
I just become skanky.	我也变得怪里怪气了
So I'm sorry about that.	对不住大家
And I'm already off-message.	我都跑题了
Ladies and gentlemen, I have devoted the past 25 years of my life to designing books.	女士们 先生们 我花了二十五年的宝贵光阴 致力于设计书本
("Yes, BOOKS.	对，书。
You know, the bound volumes with ink on paper.	就是把一沓上面有墨水的纸订一起。
You cannot turn them off with a switch.	你不能用开关关掉它。
Tell your kids.") It all sort of started as a benign mistake, like penicillin.	记得告诉你孩子。 其实我干这行也是无心插柳柳成荫 就跟当初发现青霉素似的
What I really wanted was to be a graphic designer at one of the big design firms in New York City.	我本来想的是 成为纽约市 一家大型设计公司的美术编辑
But upon arrival there, in the fall of 1986, and doing a lot of interviews, I found that the only thing I was offered was to be Assistant to the Art Director at Alfred A. Knopf, a book publisher.	当时的情形是 1986年秋天 在经历了大批的面试之后 我唯一接到的聘书就是 阿尔弗雷德•克诺夫出版社的艺术总监助理 那是一家图书出版商
Now I was stupid, but not so stupid that I turned it down.	我承认我当时的确挺蠢的 但还没有蠢到让自己失业
I had absolutely no idea what I was about to become part of, and I was incredibly lucky.	我压根不知道 我到底要干啥 不过我真的太走运了
Soon, it had occurred to me what my job was.	很快 我就知道我的工作是什么了
My job was to ask this question: "What do the stories look like?"	我的工作就是问这个问题： 这些故事看上去像什么？
Because that is what Knopf is.	因为这就是克诺夫的风格
It is the story factory, one of the very best in the world.	它是个故事工厂 世上最好的故事工厂之一
We bring stories to the public.	我们把故事带给公众
The stories can be anything, and some of them are actually true.	故事五花八门 有一些是真有其事
But they all have one thing in common: They all need to look like something.	但他们有一个共同点： 他们需要看上去像个什么玩意儿
They all need a face.	它们需要一副面孔
Why?	为什么呢?
To give you a first impression of what you are about to get into.	 就是给你 即将步入的世界一个第一印象
A book designer gives form to content, but also manages a very careful balance between the two.	书籍设计师用形式来表达内容 同时 还要非常小心地使两者平衡
Now, the first day of my graphic design training at Penn State University, the teacher, Lanny Sommese, came into the room and he drew a picture of an apple on the blackboard, and wrote the word "Apple" underneath, and he said, "OK.	犹记得 我在宾州州立大学平面设计培训的第一天 我的老师，Lanny Sommese，走进教室 在黑板上画了一张苹果的图片 在下面写上苹果 他说，第一堂课，听好了啊。
Listen up."	
And he covered up the picture and he said, "You either say this," and then he covered up the word, "or you show this.	他把图片盖上，又说 你们要么说这个，接着他又把字盖上 要么画这个
But you don't do this."	不能两者同时出现。
Because this is treating your audience like a moron.	因为那样的话就是把观众当弱智啊
And they deserve better.	（笑) 观众可不是弱智
And lo and behold, soon enough, I was able to put this theory to the test on two books that I was working on for Knopf.	你瞧 很快 我就能把这个理论 试用到我为克诺夫设计的两本书上
The first was Katharine Hepburn's memoirs, and the second was a biography of Marlene Dietrich.	第一本是凯瑟琳·赫本的回忆录 第二本是玛琳·黛德丽的传记
Now the Hepburn book was written in a very conversational style, it was like she was sitting across a table telling it all to you.	赫本的书 是用非常口语化的语言写就的 就像她坐在桌子对面跟你聊天一样
The Dietrich book was an observation by her daughter; it was a biography.	黛德丽的书是一本以她女儿 的视角所观察出的一部传记
So the Hepburn story is words and the Dietrich story is pictures, and so we did this.	赫本的故事是用语言 黛德丽的故事是用图画，所以我们做了这个
So there you are.	你们来看
Pure content and pure form, side by side.	单纯的内容和单纯的形式，肩并肩
No fighting, ladies.	好好相处哟,两位女士
Now, what is the story here?	什么是侏罗纪公园？ 是一个什么样的故事呢？
Someone is re-engineering dinosaurs by extracting their DNA from prehistoric amber.	有人 从史前时代的琥珀里 提取了恐龙的DNA 把恐龙复活了。
Genius!	小伙儿你行！
Now, luckily for me, I live and work in New York City, where there are plenty of dinosaurs.	有一点幸运的是 我在纽约市居住和工作 那儿的恐龙可是相当多啊
So, I went to the Museum of Natural History, and I checked out the bones, and I went to the gift shop, and I bought a book.	然后 我去了自然历史博物馆 在那好好看了看恐龙骨架，然后我又去了礼品店 在那买了一本书
And I was particularly taken with this page of the book, and more specifically the lower right-hand corner.	我特别喜欢书中的这一页 更具体点就是右下角那张图
Now I took this diagram, and I put it in a Photostat machine, and I took a piece of tracing paper, and I taped it over the Photostat with a piece of Scotch tape -- stop me if I'm going too fast -- -- and then I took a Rapidograph pen -- explain it to the youngsters -- and I just started to reconstitute the dinosaur.	我选了这个图 我把它放到复印机里 我又取了一张描图纸 我用一片透明胶带 把它贴到复印机上——如果我讲得太快了请告诉我—— 我又拿出一支绘图笔—— 告诉那边的小伙子那是啥—— 然后我就开始重建恐龙了
I had no idea what I was doing, I had no idea where I was going, but at some point, I stopped -- when to keep going would seem like I was going too far.	我其实不知道自己在做什么 也不知道会整出个啥玩意儿 但做了一会儿之后，我觉得我得停了—— 再做下去看来有点太过火
And what I ended up with was a graphic representation of us seeing this animal coming into being.	最终我们看到的 图形中的动物是这个样子
We're in the middle of the process.	这还没完
And then I just threw some typography on it.	我又稍作了一点后期加工
Very basic stuff, slightly suggestive of public park signage.	简单弄了一下 顺便影射了一下咱们公园的标识有多简陋
Everybody in house loved it, and so off it goes to the author.	出版社里人都挺喜欢它的 于是它就被送到作者那里去了
And even back then, Michael was on the cutting edge.	即使在当时 迈克尔说话也挺潮的
That was a relief to see that pour out of the machine.	迈克尔·克莱顿在传真里回复到： 擦！这书封他妈的太帅了 看见这张传真从机器里出来的时候我才真正安心了
I miss Michael.	我真想迈克尔
And sure enough, somebody from MCA Universal calls our legal department to see if they can maybe look into buying the rights to the image, just in case they might want to use it.	果然 环球影业有人 打电话到我们法律部 问是否能买到这张图的版权 以备将来之用
Well, they used it.	好吧，他们最后真的用了
And I was thrilled.	我当时很激动
We all know it was an amazing movie, and it was so interesting to see it go out into the culture and become this phenomenon and to see all the different permutations of it.	我们都知道那是一部很棒的电影 而且看到这成了一种文化 成了一种现象 还有各种衍生品 还真挺有意思的
But not too long ago, I came upon this on the Web.	但就在不久前 我在网上无意看见这个图
No, that is not me.	那可不是我噢
But whoever it is, I can't help but thinking they woke up one day like, "Oh my God, that wasn't there last night.	但 不管是谁 我禁不住会想 他们要是有天醒过来叫 天哪，昨晚这可还啥也没的呀。
Ooooohh!	啊啊啊啊啊！
I was so wasted."	我算是完蛋了。
But if you think about it, from my head to my hands to his leg.	想想 这个图画经由我的脑袋 到我的手最后到了他腿上
That's a responsibility.	这还真是种责任
And it's a responsibility that I don't take lightly.	不过这是种我不能轻易担当的责任
The book designer's responsibility is threefold: to the reader, to the publisher and, most of all, to the author.	图书设计师有三重责任 对读者 对出版商 最重要的是对作者
I want you to look at the author's book and say, "Wow!	我希望你看到该作者的书 会说，哇！
I need to read that."	我得看看这本书。
David Sedaris is one of my favorite writers, and the title essay in this collection is about his trip to a nudist colony.	大卫·塞达斯是我最喜欢的作家之一 这本合集的文章标题 是关于他的裸体主义殖民地之旅的
And the reason he went is because he had a fear of his body image, and he wanted to explore what was underlying that.	他去的原因是 他害怕自己身体的样子 他想探究一下原因所在
For me, it was simply an excuse to design a book that you could literally take the pants off of.	但这本书对我的意义是 我终于有机会 设计一本能脱裤子的书了
But when you do, you don't get what you expect.	但即使你真这样做了 你也不见得就能看见你想看的
You get something that goes much deeper than that.	你得到的东西要深刻得多
And David especially loved this design because at book signings, which he does a lot of, he could take a magic marker and do this.	大卫特别喜爱这个设计 因为在他做的很多书籍签名会上 他会拿支神奇的马克笔然后画个这玩意儿
Hello!	喂！
Augusten Burroughs wrote a memoir called ["Dry"], and it's about his time in rehab.	奥古斯丁·巴勒斯写过一本传记 叫做《干燥》 记述了他在康复的事经历
In his 20s, he was a hotshot ad executive, and as Mad Men has told us, a raging alcoholic.	他20几岁时 就成为一位相当成功的广告公司主管了 不过像《广告狂人》里一样，他是个疯狂的酒鬼
He did not think so, however, but his coworkers did an intervention and they said, "You are going to rehab, or you will be fired and you will die."	他本人并不以为然 不过他的同事都劝他说 你要去康复中心，不然，你会被炒鱿鱼，你会死掉的。
Now to me, this was always going to be a typographic solution, what I would call the opposite of Type 101.	对我来说 有一种排版法一直都靠谱 我称之为101型的对立面
What does that mean?	这是什么意思呢？
Usually on the first day of Introduction to Typography, you get the assignment of, select a word and make it look like what it says it is. So that's Type 101, right?	通常在上印刷术简介课的第一天 你的作业是选一个字 然后把这个字写得像它所表达的意思
Very simple stuff.	非常简单
This is going to be the opposite of that.	我这个方法其实就是反着来
I want this book to look like it's lying to you, desperately and hopelessly, the way an alcoholic would.	我想让这本书看上去像在撒谎 绝望无助地撒谎，就跟酒鬼一样的
The answer was the most low-tech thing you can imagine.	我用了你所能想象到的最没技术含量的方法
I set up the type, I printed it out on an Epson printer with water-soluble ink, taped it to the wall and threw a bucket of water at it. Presto!	我设置了字型 然后用爱普生的 水溶性墨水打印出来 贴到墙上 再把一桶水浇上去 瞬间变样！
Then when we went to press, the printer put a spot gloss on the ink and it really looked like it was running.	接着我们拿到出版社 打印机在墨水上加了点光泽 看上去真像在往下流
Not long after it came out, Augusten was waylaid in an airport and he was hiding out in the bookstore spying on who was buying his books.	出版没多久，奥古斯丁埋伏在一个机场 他藏在一个书店里 偷看谁在买他的书
And this woman came up to it, and she squinted, and she took it to the register, and she said to the man behind the counter, "This one's ruined."	有一位老太太走过来 她瞅了一眼 就把书拿到收款处 对店员说，这本书印坏了。
And the guy behind the counter said, "I know, lady.	店员站在柜台后说，我知道，女士。
They all came in that way."	它们来的时候就成这样了。
Now, that's a good printing job.	印刷厂的伙计们干的还真不赖嘛
A book cover is a distillation.	一本书的封面 是书的精华
It is a haiku, if you will, of the story.	也可以说 是这个故事的俳句总结
This particular story by Osama Tezuka is his epic life of the Buddha, and it's eight volumes in all.	手塚治虫 在他写的 菩萨史诗中有一个很特殊的故事 这书总共有8卷。
But the best thing is when it's on your shelf, you get a shelf life of the Buddha, moving from one age to the next.	最棒的是 当它上了你的书架 你就得到了 一排菩萨，而且还是不同年龄段的
All of these solutions derive their origins from the text of the book, but once the book designer has read the text, then he has to be an interpreter and a translator.	所有这些方案 是从书的内容发掘出来的 而一旦图书设计师读到了内容 他就变成了一位诠释者 和翻译者
This story was a real puzzle.	这个故事才是个真正的谜
This is what it's about.	就是这么回事
All right, so I got a collection of the paintings together and I looked at them and I deconstructed them and I put them back together.	十六世纪奥斯曼法庭画家的阴谋和谋杀。 那好 我就收集了一些画 我看着它们 解构它们 又把它们组合起来
And so, here's the design, right?	所以 这就成了设计 对吧
And so here's the front and the spine, and it's flat.	这是封面和书脊 是平的
But the real story starts when you wrap it around a book and put it on the shelf.	但当你用它包上书 放到书架上 故事就开始了
Ahh!	啊！
We come upon them, the clandestine lovers. Let's draw them out.	我们看到了 秘密情人 让我们再拉出来看看吧
Huhh!	噢！
They've been discovered by the sultan.	他们被苏丹发现了
He will not be pleased.	他不会开心的
Huhh!	嗬！
And now the sultan is in danger.	现在苏丹身处危险
And now, we have to open it up to find out what's going to happen next.	现在我们需要打开来 看看下面会发生什么事
Try experiencing that on a Kindle.	你能用Kindle这么玩么？
Don't get me started.	别提了 说了我就来气
Seriously.	说真的
Much is to be gained by eBooks: ease, convenience, portability.	电子书籍提供了很多 轻松，方便，便携
But something is definitely lost: tradition, a sensual experience, the comfort of thingy-ness -- a little bit of humanity.	但是有个东西一定不在了：传统 一种感官体验，那种物质特有的安慰—— 和一点点的人性
Do you know what John Updike used to do the first thing when he would get a copy of one of his new books from Alfred A. Knopf?	你知道约翰·厄普代克 从阿尔弗雷德•克诺夫出版社拿到新书后 做的第一件事是什么吗？
He'd smell it.	他会闻闻它
Then he'd run his hand over the rag paper, and the pungent ink and the deckled edges of the pages.	接着他会用手摸遍书页 刺鼻的油墨 纸的裁边
All those years, all those books, he never got tired of it.	从始至终 一本不拉 他从未厌倦过
Now, I am all for the iPad, but trust me -- smelling it will get you nowhere.	当然我也觉得IPAD很好 但不骗你 闻它你可是啥都闻不到的
Now the Apple guys are texting, "Develop odor emission plug-in."	这会儿苹果员工正在给工程师发短信呢 赶紧开发气味分泌插件。
And the last story I'm going to talk about is quite a story.	最后我要讲的是一个很有意思的故事
A woman named Aomame in 1984 Japan finds herself negotiating down a spiral staircase off an elevated highway. When she gets to the bottom, she can't help but feel that, all of a sudden, she's entered a new reality that's just slightly different from the one that she left, but very similar, but different.	1984年 在日本有一个叫青豆的女人 发现自己正沿着立交桥 盘旋下行 当她到达底部时 她突然不禁觉得 她走进了一个新的世界 这和她离开的那个略有不同 像 但不一样
And so, we're talking about parallel planes of existence, sort of like a book jacket and the book that it covers.	其实我们在说的是世界的平行层的存在 就像一本书和它的封面一样
So how do we show this?	那我们如何来表示呢？
We go back to Hepburn and Dietrich, but now we merge them.	我们再回到赫本和黛德丽，但这次把她们合并
So we're talking about different planes, different pieces of paper.	我们在讲不同的层面，那就用不同的纸层
So this is on a semi-transparent piece of velum.	这是一片半透明的膜
It's one part of the form and content.	它是形式和内容的一部分
When it's on top of the paper board, which is the opposite, it forms this.	当它在纸的上面时 即反过来放 就成这样了
So even if you don't know anything about this book, you are forced to consider a single person straddling two planes of existence.	所以 即使你一点也不了解这本书 你也会不由自主地觉得这是一个人 跨越了两个层面的存在
And the object itself invited exploration interaction, consideration and touch.	这个书实物本身就引起了探索 互动 思考 和接触
This debuted at number two on the New York Times Best Seller list.	这本书一登场就居 《纽约时报》畅销书排行榜第二
This is unheard of, both for us the publisher, and the author.	这对于出版社和作者 都是前所未闻的
We're talking a 900-page book that is as weird as it is compelling, and featuring a climactic scene in which a horde of tiny people emerge from the mouth of a sleeping girl and cause a German Shepherd to explode.	我们在讲是一本900页的书 它不仅好看而且很怪异 它的高潮片段居然是 一群小人 从一名熟睡了的女孩嘴里出来 然后把一条德国牧羊犬弄炸了！
Not exactly Jackie Collins.	不完全是杰基·柯林斯的风格嘛
Fourteen weeks on the Best Seller list, eight printings, and still going strong.	十四周位居畅销书排行榜 印了8次 仍然势头不减
So even though we love publishing as an art, we very much know it's a business too, and that if we do our jobs right and get a little lucky, that great art can be great business.	即使我们像爱艺术一样爱出版 我们也很清楚 这毕竟也是生意 如果我们做得对 运气又不差的话 那伟大的艺术也能成伟大的生意
So that's my story. To be continued.	这就是我的故事 未完待续
What does it look like?	这故事到底看起来怎么样?
Yes. It can, it does and it will, but for this book designer, page-turner, dog-eared place-holder, notes in the margins-taker, ink-sniffer, the story looks like this.	我知道 这种场景不仅可能 而且正在并且还会继续发生 不过对我这个书籍设计师 读者 旧书的收集者 在书上作批注的人 以及闻墨香的人来说 在我眼中这个故事是这样的
Thank you.	谢谢大家。
Hi everyone. I'm Sirena.	大家好，我叫黄凱珉。
I'm 11 years old and from Connecticut.	我今年十一岁，来自康涅狄格州。
Well, I'm not really sure why I'm here.	嗯，我确实不知道我为什么会在这里。
I mean, what does this have to do with technology, entertainment and design?	我的意思是，我和这些到底有什么关系 科技，娱乐和设计？
Well, I count my iPod, cellphone and computer as technology but this has nothing to do with that.	好吧，我把我的iPod，手机和电脑都称为科技 但这都和这个没有关系。
So I did a little research on it.	那么我做了一些研究。
Well, this is what I found.	这是我的发现。
Of course, I hope I can memorize it.	当然，我希望我能在这里记得说出来。
The violin is basically made of a wood box and four main strings.	小提琴基本上是用木头块做的。 它有四根主弦。
By playing the string, the string vibrates and produces a sound wave.	通过拉弦，弦产生震动。 结果产生一种声波。
Sound passes through a piece of wood called a bridge and goes down to the wood box and gets amplified but ... let me think.	声音通过称为琴马的木板 进入木盒，然后得到放大。
On the other hand by placing your finger in a different position on the fingerboard it changes the string length, that changes the frequency of the sound wave.	想起来了，在另一方面 通过把手放在指板的不同位置 它改变弦的长度 这改变声波的频率。
Oh, my gosh!	噢，我的天哪！
Okay.	好吧，这就是所谓的科技。
This is sort of a technology but I can call it a 16th-century technology.	 但我把它叫做十六世纪的科技。
But actually, the most fascinating thing that I found was that even the audio system or wave transmission nowadays are still basically based on the same principle of producing and projecting sound.	实际上，我发现最美妙的事是 当时称之为的声音系统 现在叫做声波的传递 现在根本上还是基于同样的原则 来产生和放大声音。
Isn't that cool?	这是不是很酷？
Design -- I love its design.	（鼓掌） 设计—我喜欢小提琴的设计。
I remember when I was little my mom asked me, would you like to play the violin or the piano?	我记得我小的时候 我妈妈问我 你是喜欢拉小提琴还是弹钢琴？
I looked at that giant monster and said to myself -- I am not going to lock myself on that bench the whole day.	我看看那庞然大物 我自言自语地说 我可不要把我锁在那张板凳上 整整一天。
This is small and lightweight.	这个很小，很轻。
I can play from standing, sitting or walking.	我可以站着、坐着或走着拉。
And you know what?	而且你知道吗？
The best of all is that if I don't want to practice, I can hide it.	最好的事情是如果我不想练习 我可以把它藏起来。
The violin is very beautiful.	小提琴非常美丽。
Some people relate it as the shape of a lady but, whether you like it or not, it's been so for more than 400 years, unlike modern stuff that easily looks dated.	有些人把它联系到女人的身材之美 但是无论你喜欢于否 它已经有四百多年的历史， 与那些时髦一时的现代东西相比，它却是百年不衰。
But I think it's very personal and unique that, although each violin looks pretty similar, that no two violins sound the same.	但是我认为它因人而异，具有非常独特的品质， 虽然每一把小提琴看起来都很相似 但没有任何两把小提琴发出同样的声音。
Even from the same maker or based on the same model.	即使是出自同一制造者 或基于同一模式。
Entertainment -- I love the entertainment, but actually, the instrument itself isn't very entertaining.	娱乐—我喜欢娱乐。 可实际上，小提琴本身 并没有什么娱乐性。
I mean, when I first got my violin and tried to play around, it was actually, really bad because it didn't sound like the way I'd heard from other kids -- so horrible and so scratchy -- so it wasn't entertaining at all.	我的意思是，当我开始拉小提琴时 我试着拉，当时的小提琴 事实上声音很不好听 它发出的声音并不像其他孩子那样拉得好听 声音很糟，很刺耳 因此我开始拉的小提琴一点没有娱乐性。
But besides, my brother found this very funny.	尽管如此，我弟弟认为这个很好玩。
Yuk, yuk, yuk.	呀，呀，呀。
A few years later I heard a joke about the greatest violinist, Jascha Heifetz.	几年之后，我听到一个笑话 是关于最伟大的小提琴家雅沙·海菲兹的故事。
After Mr. Heifetz's concert a lady came over and complimented, "Oh, Mr. Heifetz, your violin sounded so great tonight."	一次海菲兹音乐会之后 一位女士前来恭维， 噢，海菲兹先生，您今晚之小提琴的声音太美妙了。
And Mr. Heifetz was a very cool person, so he picked up his violin and said, "Funny, I don't hear anything."	海菲兹先生当时很酷 他拿起小提琴，他说， 有意思，我可听不见任何声音。
And now, I realize that as the musician, we human beings, we have a great mind, artistic heart and skill that can change the 16th-century technology and a legendary design to a wonderful entertainment.	现在，我认识到，作为一个音乐家 我们人类，我们有一个奇妙的大脑， 艺术的心灵和技巧 这些可以改变十六世纪的科技 一个传奇的设计 成为一个美妙的娱乐。
Now, I know why I'm here.	现在，我明白了我为什么会在这里。
At first I thought I was just going to be here to perform, but unexpectedly, I learned and enjoyed much more.	起初，我以为我到这里来只是为了表演 我没有想到是，我却学到和得到更多的东西，
But ... although some of them were quite up there for me.	但是⋯尽管其中的许多东西对我来说都特别深奥。
Like the multi-dimension stuff.	比如多维的东西。
I mean, honestly, I'd be happy enough if I can actually get my two dimension correct in school.	我的意思是，坦白地说，我会相当地满足 如果我能在学校里能够明白平面的空间。
But actually, the most impressive thing to me is that ... well, actually, I would also like to stand this for all children is to say, thank you, to all adults for actually caring for us a lot and to make our future world much better.	但事实上，最令人印象深刻的事情对我来说 是这个⋯真的， 我还要在此为所有的儿童 对所有的大人们说一声，谢谢你们 给我们许多真切的关怀 和对我们更美好未来所做的一切努力。
Thank you.	谢谢你们。
Phyllis Rodriguez: We are here today because of the fact that we have what most people consider an unusual friendship.	菲莉斯·罗德里格斯：我们今天站在这里 是因为 我们拥有大多数认为的 不寻常的一份友情。
And it is.	而且它的确是这样。
And yet, it feels natural to us now.	现在，我们已经感觉很自然了。
I first learned that my son had been in the World Trade Center on the morning of September 11th, 2001.	我起初知道 我的儿子在2001年9月11日早晨 进入了世贸大厦。
We didn't know if he had perished yet until 36 hours later.	我们不知道 是否他还活着 直到事发36小时之后。
At the time, we knew that it was political.	那时， 我知道这是政治原因。
We were afraid of what our country was going to do in the name of our son -- my husband, Orlando, and I and our family.	我们担心国家会以我们孩子的名义 要做的那些事-- 我丈夫，奥兰多，和我以及我们一家。
And when I saw it -- and yet, through the shock, the terrible shock, and the terrible explosion in our lives, literally, we were not vengeful.	当我看到的时候-- 可是，经历了这种震惊， 可怕的震惊， 真正意义上的生活中可怕的震惊， 我们并没有心存报复。
And a couple of weeks later when Zacarias Moussaoui was indicted on six counts of conspiracy to commit terrorism, and the U.S. government called for a death penalty for him, if convicted, my husband and I spoke out in opposition to that, publicly.	几周之后 当撒迦利亚·穆萨维被指控为 六个密谋制造恐怖袭击的份子之一， 同时美国政府对他将判决 死刑，如果定罪的话， 我丈夫和我 也用完全不同的角度，群众的角度讨论过这些。
Through that and through human rights groups, we were brought together with several other victims' families.	通过这些 也通过人权组织， 我们走到了一起 还有一些其他受害者家属。
When I saw Aicha in the media, coming over when her son was indicted, and I thought, "What a brave woman.	当我在媒体上看到艾莎， 同时她的儿子被指控的时候， 我就想，多么勇敢的女人。
Someday I want to meet that woman when I'm stronger."	当我更坚强的时候，我想见见这个女人。
I was still in deep grief; I knew I didn't have the strength.	我仍旧沉浸在悲伤中， 我知道我不够坚强。
I knew I would find her someday, or we would find each other.	我知道有一天我能找到她， 也许我们会找到彼此。
Because, when people heard that my son was a victim, I got immediate sympathy.	因为，当人们听说我儿子是受害者的时候， 我立即得到了同情。
But when people learned what her son was accused of, she didn't get that sympathy.	但是当人们听说 她的儿子是被指控的时候， 她却没有得到同情。
But her suffering is equal to mine.	但是她和我一样的痛苦。
So we met in November 2002, and Aicha will now tell you how that came about.	于是我们在2002年11月相遇了。 接下来艾莎会告诉你们 事情是怎么发生的。
Aicha el-Wafi: Good afternoon, ladies and gentlemen.	艾莎·瓦非：下午好，女士们先生们。
I am the mother of Zacarias Moussaoui.	我是撒迦利亚·穆萨维的母亲。
And I asked the Organization of Human Rights to put me in touch with the parents of the victims.	我请求 人权组织 让我和那些受害者的父母取得联系。
So they introduced me to five families.	于是他们就把我介绍给 5个家庭。
And I saw Phyllis, and I watched her.	当我遇见菲莉斯的时候，我注意到她。
She was the only mother in the group.	她是这个团体中唯一的母亲。
The others were brothers, sisters.	其他都是兄弟，姐妹。
And I saw in her eyes that she was a mother, just like me.	当我从她的目光中看出 她是个母亲，和我一样的母亲。
I suffered a lot as a mother.	作为一个母亲我也遭受了很多悲痛。
I was married when I was 14.	我14岁结的婚。
I lost a child when I was 15, a second child when I was 16.	15岁失去了第一个孩子， 16岁失去了第二个孩子。
So the story with Zacarias was too much really.	所以撒迦利亚的事对我真的意味太多。
And I still suffer, because my son is like he's buried alive.	我仍旧还在悲痛中， 因为我的儿子 就像被活埋了一样。
I know she really cried for her son.	我了解她的确为她儿子痛哭不已。
But she knows where he is.	但是她起码知道他在哪里。
My son, I don't know where he is.	我儿子，我甚至不知道他在何方。
I don't know if he's alive.	我不知道他是否还活着。
I don't know if he's tortured.	我不知道他是否被虐待过。
I don't know what happened to him.	我不知道在他身上发生了什么。
So that's why I decided to tell my story, so that my suffering is something positive for other women.	这也是为什么我决定讲述我的故事的原因， 以便我的痛苦能对其他妇女有些正面的帮助。
For all the women, all the mothers that give life, you can give back, you can change.	为了所有的妇女，所有赐予生命的母亲， 你们可以恢复， 你们可以改变。
It's up to us women, because we are women, because we love our children.	这取决于我们妇女， 因为我们是女人， 因为我们爱我们的孩子。
We must be hand-in-hand and do something together.	我们一定要联手起来 一起做一些事。
It's not against women, it's for us, for us women, for our children.	这事不是为了反对妇女， 这是为了我们，为了我们妇女， 为了我们的孩子们。
I talk against violence, against terrorism.	我反对暴力，反对恐怖主义。
I go to schools to talk to young, Muslim girls so they don't accept to be married against their will very young.	我去学校 和那些年轻的穆斯林女孩交谈 所以在她们年少时不会接受违背她们意志的婚姻。
So if I can save one of the young girls, and avoid that they get married and suffer as much as I did, well this is something good.	如果我能拯救一个年轻的女孩， 从而避免她们过早结婚而像我一样遭受这么多， 起码这就是好的事情。
This is why I'm here in front of you.	这就是为什么我在这里站在你们面前。
PR: I would like to say that I have learned so much from Aicha, starting with that day we had our very first meeting with other family members -- which was a very private meeting with security, because it was November 2002, and, frankly, we were afraid of the super-patriotism of that time in the country -- those of us family members.	菲莉斯·罗德里格斯：我想说的是 我从艾莎这里学到了很多， 回首我们初次见面的那天 还有其他家庭的成员-- 这是个受保护的很私下的聚会， 因为当时是2002年11月， 老实说，我们担心国内的那些极端（左翼）爱国主义者-- 那些我们家族成员。
But we were all so nervous.	但是我们都很紧张。
"Why does she want to meet us?"	为什么她想见我们？
And then she was nervous.	同时她也很紧张。
"Why did we want to meet her?"	为什么我们想见她？
What did we want from each other?	我们彼此间想得到些什么？
Before we knew each others' names, or anything, we had embraced and wept.	在我们了解其他人的姓名和其他一些事情之前， 我们已经哭着相互抱在一起。
Then we sat in a circle with support, with help, from people experienced in this kind of reconciliation.	接着我们坐成一个圈 在和解的环境下和那些经历过此事的人 互相扶持，互相帮助。
And Aicha started, and she said, "I don't know if my son is guilty or innocent, but I want to tell you how sorry I am for what happened to your families.	艾莎起的头 她讲述道， 我不知道我的儿子 是有罪还是无辜的， 但是我想告诉你们我有多么抱歉 对于那些发生在你们家庭里的事。
I know what it is to suffer, and I feel that if there is a crime, a person should be tried fairly and punished."	我知道这是很痛苦， 同时我以为，如果有人犯罪的话， 那人应该被公平的对待和定罪。
But she reached out to us in that way, and it was, I'd like to say, it was an ice-breaker.	但她是用这种方式与我们感同身受。 这是，我想说，这是一种冰释前嫌的方式。
And what happened then is we all told our stories, and we all connected as human beings.	接下去发生的是，我们全都讲述了自己的故事， 我们作为平等人互相交流着。
By the end of the afternoon -- it was about three hours after lunch -- we'd felt as if we'd known each other forever.	在下午结束的时候-- 大概是午餐之后3个小时-- 我们感觉就好像我们永远了解彼此一样。
